,name_1,grass_area,volume,estimated_volume,difference,auto_pct,difference_pct,wasted_tl,start_read_date,end_read_date
299,NEJAT UYGUR,1470.0,409,209,200,0.0,95.69377990430623,4000,2019-09-04,2019-10-03
300,BERFO ANA,11200.0,1154,0,1154,0.0,0.0,23080,2016-04-27,2016-05-27
302,KEMAL SUNAL,1600.0,394,0,394,100.0,0.0,7880,2017-03-29,2017-05-25
303,KEMAL SUNAL,1600.0,513,197,316,100.0,160.40609137055836,6320,2022-09-05,2022-09-29
304,NEJAT UYGUR,1470.0,6,0,6,0.0,0.0,120,2021-04-27,2021-05-31
310,KEMAL SUNAL,1600.0,362,288,74,100.0,25.694444444444443,1480,2021-08-02,2021-08-31
311,ATA PARK,6052.0,1461,970,491,0.0,50.618556701030926,9820,2016-08-02,2016-09-02
313,İSMET İNÖNÜ,9088.0,3309,2462,847,100.0,34.402924451665314,16940,2018-07-26,2018-09-04
314,RAUF DENKTAŞ,5562.0,1631,1363,268,100.0,19.66250917094644,5360,2020-08-04,2020-09-05
315,SÜLEYMAN TÜRKOĞLU,1919.0,648,321,327,100.0,101.86915887850468,6540,2016-08-01,2016-09-02
316,TEOMAN ÖZTÜRK,8000.0,4,0,4,0.0,0.0,80,2022-04-04,2022-05-06
317,RAUF DENKTAŞ,5562.0,1135,866,269,100.0,31.062355658198616,5380,2022-09-02,2022-10-03
321,KEMAL SUNAL,1600.0,633,426,207,100.0,48.59154929577465,4140,2023-08-03,2023-09-02
323,SEMA YAZAR,2850.0,860,556,304,70.0,54.67625899280576,6080,2022-08-03,2022-09-05
325,BERFO ANA,11200.0,748,57,691,0.0,1212.280701754386,13820,2020-04-29,2020-06-02
326,RAUF DENKTAŞ,5562.0,606,0,606,100.0,0.0,12120,2021-11-01,2022-04-28
329,İSMET İNÖNÜ,9088.0,14440,1729,12711,100.0,735.1648351648352,254220,2018-10-03,2019-07-01
332,YUNUS EMRE,4847.0,1190,629,561,50.0,89.1891891891892,11220,2016-05-31,2016-06-29
333,BERFO ANA,11200.0,2843,1927,916,0.0,47.53502854177478,18320,2017-07-27,2017-08-24
334,YUNUS EMRE,4847.0,1886,979,907,50.0,92.64555669050051,18140,2016-06-29,2016-08-02
335,NEJAT UYGUR,1470.0,659,343,316,0.0,92.12827988338192,6320,2020-08-05,2020-09-04
336,SÜLEYMAN TÜRKOĞLU,1919.0,759,249,510,100.0,204.81927710843374,10200,2016-03-29,2016-06-29
338,BERFO ANA,11200.0,1532,1112,420,0.0,37.76978417266187,8400,2018-05-23,2018-06-22
341,İSMET İNÖNÜ,9088.0,1915,1756,159,100.0,9.054669703872438,3180,2022-08-04,2022-09-06
343,KEMAL SUNAL,1600.0,735,239,496,100.0,207.53138075313808,9920,2019-11-01,2020-07-03
344,İSMET İNÖNÜ,9088.0,159,76,83,100.0,109.21052631578947,1660,2017-10-25,2018-05-21
345,SÜLEYMAN TÜRKOĞLU,1919.0,528,340,188,100.0,55.294117647058826,3760,2017-07-27,2017-08-25
349,SÜLEYMAN TÜRKOĞLU,1919.0,432,415,17,100.0,4.096385542168675,340,2019-07-29,2019-09-03
350,KEMAL SUNAL,1600.0,164,0,164,100.0,0.0,3280,2022-03-29,2022-05-31
351,NEJAT UYGUR,1470.0,788,312,476,0.0,152.56410256410254,9520,2021-06-29,2021-08-03
