subscription,district,name,address,volume,price,start_read_date,end_read_date
2998802,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,UFUK ÜNİVERSİTESİ CAD,99.0,1018.97,2023-03-29,2023-05-02
2246271,ÇANKAYA,BERFO ANA PARKI,1539 SK,1245.0,4145.85,2020-09-03,2020-10-05
1070093,ÇANKAYA,YAPRAK PARKI,2506 SK,110.0,366.3,2020-08-03,2020-09-05
670141,ÇANKAYA,AŞIK MAHSUNİ PARKI,1 CAD,194.0,781.88,2017-08-24,2017-09-30
674206,ÇANKAYA,İSMAİL CEM PARKI,ÜRDÜN CAD,34.0,135.35,2018-10-02,2019-05-24
1070996,ÇANKAYA,ŞH.METİN ÖZDEMİR PARKI,GALİP ERDEM CAD,26.0,90.07,2016-06-30,2016-09-03
2246468,ÇANKAYA,MALTEP E PARKI,ŞEHİT GÖNENÇ SK,276.0,919.08,2019-04-26,2019-05-24
1446293,ÇANKAYA,PR DR HİKMEN BİRAND PARKI,AHMET YESEVİ CAD,481.0,1914.38,2017-06-30,2017-07-29
1073841,ÇANKAYA,PARK,SEYRAN CAD,49.0,163.17,2019-11-04,2020-06-03
1446831,ÇANKAYA,ÇANKAYA BELEDİYE BAŞKANLI Ğ JN.KORHAN KURUÇAY PARK,3272 SK,6.0,19.98,2021-03-29,2021-04-27
